term 	 tf-idf weight 	 BM25 ranking 
difficult 	 2472.504146905386 1.064717816478797 
correct 	 2748.470093084076 1.064717816478797 
control 	 560.3079801482819 1.4799765169899313 
mary 	 7527.982866261731 0.7254619828077636 
rose 	 7318.526161133972 0.7254619828077636 
taylor 	 2265.6486677908665 1.2613352076768216 
springfield 	 6150.006271308559 0.7254619828077636 
massachusetts 	 7318.526161133972 0.7254619828077636 
denied 	 5662.702824738984 0.7254619828077636 
error 	 3324.8096773655 1.064717816478797 
bureau 	 6263.637198022377 0.7254619828077636 
mib 	 5948.032663003068 1.064717816478797 
database 	 7762.135541146621 0.7254619828077636 
reported 	 4079.595968150175 0.7254619828077636 
abnormal 	 10518.088731052963 0.7254619828077636 
urinalysis 	 11896.065326006135 0.7254619828077636 
blood 	 6150.006271308559 0.7254619828077636 
test 	 4828.03337976518 0.7254619828077636 
commissioner 	 9140.112136099793 0.7254619828077636 
received 	 4003.125001864517 0.7254619828077636 
despite 	 5134.484931261769 0.7254619828077636 
horror 	 8696.502756087144 0.7254619828077636 
americans 	 2709.4847042097144 1.064717816478797 
share 	 4885.660603069206 0.7254619828077636 
kept 	 6796.946003372599 0.7254619828077636 
intended 	 6150.006271308559 0.7254619828077636 
foster 	 7318.526161133972 0.7254619828077636 
encourage 	 6512.461526214941 0.7254619828077636 
patient's 	 8334.047501180761 0.7254619828077636 
submitted 	 6796.946003372599 0.7254619828077636 
payor 	 11896.065326006135 0.7254619828077636 
entity 	 8696.502756087144 0.7254619828077636 
ethical 	 5662.702824738984 0.7254619828077636 
evaporates 	 11896.065326006135 0.7254619828077636 
putting 	 8027.595949684172 0.7254619828077636 
risk 	 1572.5201718898054 1.2613352076768216 
termed 	 8027.595949684172 0.7254619828077636 
leaders 	 4118.96359121498 0.7254619828077636 
ceos 	 5948.032663003068 1.064717816478797 
