term 	 tf-idf weight 	 BM25 ranking 
permit 	 5592.66619231015 0.8992918449565849 
artists 	 4735.29688866753 0.8992918449565849 
stupid 	 3183.867029300355 1.2407055143771513 
totalitarian 	 6058.68024003053 0.8992918449565849 
people 	 405.71910414024006 1.5314017381373934 
scared 	 8287.75174875176 0.8992918449565849 
nea 	 8287.75174875176 0.8992918449565849 
basically 	 5407.725213525186 0.8992918449565849 
gone 	 5806.1648838709025 0.8992918449565849 
takes 	 1722.5443880603418 1.2407055143771513 
usually 	 3487.7075233741375 0.8992918449565849 
exception 	 4735.29688866753 0.8992918449565849 
cathartic 	 4143.87587437588 1.2407055143771513 
nursing' 	 8287.75174875176 0.8992918449565849 
rage 	 7327.742903676235 0.8992918449565849 
angry 	 2019.5600800101768 1.4204639176615979 
melt 	 7327.742903676235 0.8992918449565849 
entire 	 3723.017689335763 0.8992918449565849 
medical 	 2640.3623889423375 0.8992918449565849 
profession 	 3886.1471937198544 0.8992918449565849 
nurses 	 1655.5555986420054 1.4204639176615979 
spell 	 3663.8714518381175 1.2407055143771513 
remember 	 5244.5957091410955 0.8992918449565849 
cover 	 3286.630439739508 0.8992918449565849 
stomach 	 3663.8714518381175 1.2407055143771513 
shield 	 6367.73405860071 0.8992918449565849 
chest 	 7327.742903676235 0.8992918449565849 
rays 	 8287.75174875176 0.8992918449565849 
body's 	 6367.73405860071 0.8992918449565849 
systems 	 2184.4455912907683 0.8992918449565849 
including 	 1216.0172673994548 0.8992918449565849 
speak 	 4966.666795926016 0.8992918449565849 
communicated 	 7327.742903676235 0.8992918449565849 
spelling 	 6367.73405860071 0.8992918449565849 
words 	 930.7544223339407 1.5314017381373934 
vocally 	 8287.75174875176 0.8992918449565849 
nurse 	 1699.5571316516687 1.4204639176615979 
recite 	 8287.75174875176 0.8992918449565849 
alphabet 	 6766.173728946427 0.8992918449565849 
loud 	 4143.87587437588 1.2407055143771513 
indicated 	 5244.5957091410955 0.8992918449565849 
blinking 	 8287.75174875176 0.8992918449565849 
letter 	 1914.8043656546504 1.2407055143771513 
communicate 	 2483.333397963008 1.2407055143771513 
effort 	 3624.0470242204924 0.8992918449565849 
style 	 3403.7424221583756 0.8992918449565849 
moved 	 5244.5957091410955 0.8992918449565849 
headset 	 8287.75174875176 0.8992918449565849 
paralyzed 	 7327.742903676235 0.8992918449565849 
teenager 	 8287.75174875176 0.8992918449565849 
call 	 2617.0845300741494 0.8992918449565849 
reach 	 3723.017689335763 0.8992918449565849 
body 	 2955.2973203833276 0.8992918449565849 
move 	 3487.7075233741375 0.8992918449565849 
result 	 1242.5399655225797 1.2407055143771513 
alert 	 4966.666795926016 0.8992918449565849 
doctors 	 4846.156038795379 0.8992918449565849 
feeding 	 6058.68024003053 0.8992918449565849 
tube 	 6058.68024003053 0.8992918449565849 
twisted 	 7327.742903676235 0.8992918449565849 
