term 	 tf-idf weight 	 BM25 ranking 
instance 	 4904.001461138715 0.8609740508021263 
forcing 	 6548.624057274876 0.8609740508021263 
function 	 2129.5211016191774 1.0627179348880342 
temperature 	 11337.414839832807 0.5485612828540866 
summer 	 5118.223424068803 0.8609740508021263 
equally 	 10476.094714912177 0.5485612828540866 
mesoscale 	 2640.1037609634955 1.387940982461886 
similarly 	 11337.414839832807 0.5485612828540866 
gradients 	 5971.9684081258165 1.0627179348880342 
example 	 1320.674788770046 1.2037495419586017 
fast 	 5007.283789754682 0.8609740508021263 
mccorcle 	 17915.90522437745 0.5485612828540866 
shown 	 1341.3616079267476 1.387940982461886 
induce 	 12089.85023810584 0.5485612828540866 
thermally 	 17915.90522437745 0.5485612828540866 
induced 	 11690.05724858802 0.5485612828540866 
circulations 	 15840.622565780972 0.5485612828540866 
similar 	 1972.6498892638099 1.0627179348880342 
breezes 	 17915.90522437745 0.5485612828540866 
chang 	 6548.624057274876 0.8609740508021263 
wetzel 	 17915.90522437745 0.5485612828540866 
concluded 	 5510.982727976638 0.8609740508021263 
variations 	 11021.965455953276 0.5485612828540866 
affect 	 6725.3223872370445 0.5485612828540866 
baroclinic 	 17915.90522437745 0.5485612828540866 
structures 	 3769.7459656975334 0.8609740508021263 
differential 	 13765.339907184496 0.5485612828540866 
heating 	 12551.37737350865 0.5485612828540866 
indicate 	 10476.094714912177 0.5485612828540866 
location 	 9262.132181236331 0.5485612828540866 
intensity 	 6044.92511905292 0.8609740508021263 
dynamic 	 10476.094714912177 0.5485612828540866 
thermodynamic 	 17915.90522437745 0.5485612828540866 
discontinuities 	 14626.660032105128 0.5485612828540866 
develop 	 3362.6611936185222 0.8609740508021263 
storms 	 15840.622565780972 0.5485612828540866 
lanicci 	 17915.90522437745 0.5485612828540866 
dry 	 2922.514312147005 1.2037495419586017 
northern 	 8946.6827973568 0.5485612828540866 
mexico 	 8528.235541885573 0.5485612828540866 
southern 	 3678.990906838331 0.8609740508021263 
plains 	 7920.311282890486 0.8609740508021263 
dynamically 	 14626.660032105128 0.5485612828540866 
interact 	 11337.414839832807 0.5485612828540866 
alter 	 12089.85023810584 0.5485612828540866 
prestorm 	 17915.90522437745 0.5485612828540866 
subsequent 	 7834.221509397946 0.5485612828540866 
convective 	 14626.660032105128 0.5485612828540866 
rainfall 	 7920.311282890486 0.8609740508021263 
patterns 	 2368.27233130688 1.0627179348880342 
unclear 	 9614.774589991543 0.5485612828540866 
distribution 	 2395.6165075466183 1.0627179348880342 
collected 	 2002.9135159018726 1.3078903727995603 
useful 	 9100.254920753126 0.5485612828540866 
indication 	 12551.37737350865 0.5485612828540866 
favor 	 8800.60504583352 0.5485612828540866 
betts 	 17915.90522437745 0.5485612828540866 
initialization 	 17915.90522437745 0.5485612828540866 
ecmwf 	 13765.339907184496 0.5485612828540866 
weather 	 2200.15126145838 1.2037495419586017 
predictions 	 6275.688686754325 0.8609740508021263 
region 	 6871.400138760323 0.5485612828540866 
lead 	 7357.981813676662 0.5485612828540866 
improved 	 4631.066090618166 0.8609740508021263 
extreme 	 9614.774589991543 0.5485612828540866 
