term 	 tf-idf weight 	 BM25 ranking 
flyby 	 2579.0765369761793 1.4483417884150067 
chance 	 1287.915927074409 1.4483417884150067 
fail 	 1473.5833639102566 1.4483417884150067 
screw 	 2105.574640560224 1.4483417884150067 
care 	 851.9159341409841 1.4483417884150067 
plan 	 779.9156236511594 1.4483417884150067 
happens 	 942.704398358541 1.6800443543976207 
involves 	 1333.326309322932 1.4483417884150067 
meteorology 	 1885.408796717082 1.4483417884150067 
them's 	 2579.0765369761793 1.4483417884150067 
breaks 	 1740.3892627333391 1.4483417884150067 
love 	 1113.16046547979 1.4483417884150067 
anyway 	 1806.8282057388874 1.4483417884150067 
noted 	 978.5269762266225 1.4483417884150067 
wondering 	 2280.3301021548427 1.4483417884150067 
opposed 	 1158.570847728313 1.4483417884150067 
nice 	 1740.3892627333391 1.4483417884150067 
oblige 	 2579.0765369761793 1.4483417884150067 
telling 	 1473.5833639102566 1.4483417884150067 
pretty 	 2105.574640560224 1.4483417884150067 
wondered 	 2579.0765369761793 1.4483417884150067 
differences 	 859.8244129069768 1.4483417884150067 
noticed 	 1740.3892627333391 1.4483417884150067 
fun 	 870.1946313666696 1.6800443543976207 
informative 	 2105.574640560224 1.4483417884150067 
real 	 859.8244129069768 1.4483417884150067 
kick 	 2579.0765369761793 1.4483417884150067 
learned 	 1508.081770917551 1.4483417884150067 
little 	 1000.0814674943015 1.4483417884150067 
hurt 	 1682.8372325121697 1.4483417884150067 
hope 	 1142.8963930906662 1.4483417884150067 
enjoyed 	 870.1946313666696 1.6800443543976207 
encourage 	 1411.9069003011264 1.4483417884150067 
correspondence 	 1981.5836673335064 1.4483417884150067 
learn 	 1174.8369290889204 1.4483417884150067 
learning's 	 2579.0765369761793 1.4483417884150067 
grow 	 1411.9069003011264 1.4483417884150067 
signing 	 1473.5833639102566 1.4483417884150067 
moshiashwili 	 2579.0765369761793 1.4483417884150067 
amosh 	 2579.0765369761793 1.4483417884150067 
eden 	 2105.574640560224 1.4483417884150067 
rutgers 	 2280.3301021548427 1.4483417884150067 
edu 	 157.11202090420105 1.77468088230356 
woodring 	 1289.5382684880897 1.6800443543976207 
usc 	 2280.3301021548427 1.4483417884150067 
alicyn 	 2579.0765369761793 1.4483417884150067 
campbell 	 1885.408796717082 1.4483417884150067 
acampbel 	 2579.0765369761793 1.4483417884150067 
reed 	 1981.5836673335064 1.4483417884150067 
