term 	 tf-idf weight 	 BM25 ranking 
mur 	 2435.4620662396865 1.4709344492304468 
der 	 1706.215962263868 1.4709344492304468 
citizens 	 512.4537769000989 1.6951451786207865 
addition 	 904.6536191524066 1.4709344492304468 
blood 	 1259.0807607759475 1.4709344492304468 
stains 	 2435.4620662396865 1.4709344492304468 
father 	 1259.0807607759475 1.4709344492304468 
stan 	 1706.215962263868 1.4709344492304468 
rother 	 2435.4620662396865 1.4709344492304468 
oklahoma 	 1988.326864751766 1.4709344492304468 
killed 	 588.703893861426 1.6951451786207865 
santiago 	 2153.351163751789 1.4709344492304468 
atitlan 	 2435.4620662396865 1.4709344492304468 
hundreds 	 1196.3414340862532 1.4709344492304468 
thousands 	 1282.3442352088064 1.4709344492304468 
cuatemalans 	 2435.4620662396865 1.4709344492304468 
extent 	 477.48224961552376 1.6951451786207865 
complicit 	 2435.4620662396865 1.4709344492304468 
travesty 	 2435.4620662396865 1.4709344492304468 
know 	 506.1917443614145 1.6951451786207865 
leading 	 627.3030048481278 1.4709344492304468 
architects 	 1988.326864751766 1.4709344492304468 
violence 	 988.4354052134952 1.4709344492304468 
including 	 357.34225836215023 1.4709344492304468 
guatemala's 	 2435.4620662396865 1.4709344492304468 
manuel 	 2153.351163751789 1.4709344492304468 
antonio 	 1988.326864751766 1.4709344492304468 
callejas 	 1217.7310331198432 1.6951451786207865 
trained 	 1459.5186902107498 1.4709344492304468 
taxpayer 	 1988.326864751766 1.4709344492304468 
funded 	 1307.0184562880954 1.4709344492304468 
school 	 377.8591857631671 1.6951451786207865 
americas 	 935.6201306319456 1.6951451786207865 
fort 	 1643.476635574174 1.4709344492304468 
benning 	 2435.4620662396865 1.4709344492304468 
searches 	 1871.2402612638912 1.4709344492304468 
directing 	 1706.215962263868 1.4709344492304468 
slaughter 	 1871.2402612638912 1.4709344492304468 
call 	 256.35460980509714 1.7858844248440802 
congressional 	 1459.5186902107498 1.4709344492304468 
representative 	 1037.829274014232 1.4709344492304468 
support 	 565.2482872349084 1.4709344492304468 
roy 	 1643.476635574174 1.4709344492304468 
bourgeois 	 1988.326864751766 1.4709344492304468 
watch 	 1643.476635574174 1.4709344492304468 
box 	 1051.1747319031892 1.4709344492304468 
columbus 	 1706.215962263868 1.4709344492304468 
guatemall 	 2435.4620662396865 1.4709344492304468 
sen 	 1988.326864751766 1.4709344492304468 
arlen 	 2435.4620662396865 1.4709344492304468 
specter 	 2435.4620662396865 1.4709344492304468 
chair 	 1498.30993339111 1.4709344492304468 
senate 	 1361.3657330862764 1.4709344492304468 
anthony 	 1643.476635574174 1.4709344492304468 
lake 	 1159.3159203565226 1.4709344492304468 
security 	 706.3245027255974 1.4709344492304468 
advisor 	 1541.1916632638452 1.4709344492304468 
tealprev 	 1988.326864751766 1.4709344492304468 
newscont 	 2153.351163751789 1.4709344492304468 
pages 	 473.6074690384365 1.4709344492304468 
compliments 	 1988.326864751766 1.4709344492304468 
misery 	 1541.1916632638452 1.4709344492304468 
bay 	 1177.407787722852 1.4709344492304468 
publications 	 755.7183715263342 1.4709344492304468 
http 	 178.57484633650458 1.4709344492304468 
www 	 176.98809968733207 1.4709344492304468 
miserybay 	 821.738317787087 1.6951451786207865 
com 	 98.22498727399129 1.6951451786207865 
mail 	 718.122430233011 1.4709344492304468 
