term 	 tf-idf weight 	 BM25 ranking 
lifetime 	 9392.035374656683 0.7410208563151437 
coast 	 4287.019855623859 0.9377991096513584 
scales 	 6894.163837666257 0.7410208563151437 
structure 	 2242.698496355262 0.9377991096513584 
exhibits 	 4853.302166461495 0.9377991096513584 
regionality 	 11504.117499621125 0.7410208563151437 
signal 	 3363.442232701847 1.08137937674991 
power 	 5539.266561414082 0.45475642748501155 
spectra 	 20343.084089989257 0.45475642748501155 
vicinity 	 4601.64699984845 1.1907655565171638 
common 	 6899.012516150641 0.45475642748501155 
spectral 	 23008.23499924225 0.45475642748501155 
peaks 	 20343.084089989257 0.45475642748501155 
suggesting 	 12595.78197600425 0.45475642748501155 
close 	 1804.3432430188589 1.1907655565171638 
northward 	 23008.23499924225 0.45475642748501155 
necessarily 	 14154.795316680142 0.45475642748501155 
maxima 	 11504.117499621125 0.7410208563151437 
intriguing 	 20343.084089989257 0.45475642748501155 
investigated 	 8059.459920030187 0.7410208563151437 
future 	 5836.818283015373 0.45475642748501155 
transient 	 18784.070749313367 0.45475642748501155 
disturbances 	 3390.51401499821 1.276873025892708 
embedded 	 20343.084089989257 0.45475642748501155 
occurrence 	 2022.113616668592 1.3464181157442343 
characterized 	 6573.002359901319 0.7410208563151437 
movement 	 2135.8310675650446 0.9377991096513584 
anticyclone 	 2556.470555471361 1.4518519050513192 
abrupt 	 10171.542044994629 0.7410208563151437 
hours 	 5030.491266472128 0.7410208563151437 
drop 	 1371.9590402478098 1.4518519050513192 
scenario 	 5372.9732800201255 0.9377991096513584 
reach 	 3445.2474164852006 0.9377991096513584 
west 	 3420.5959388419915 0.7410208563151437 
wave 	 4596.109225110838 0.9377991096513584 
undergoes 	 20343.084089989257 0.45475642748501155 
development 	 4474.25237949088 0.45475642748501155 
eventually 	 12347.631362230288 0.45475642748501155 
develops 	 16819.94622593313 0.45475642748501155 
major 	 1287.6379980109173 1.08137937674991 
replaces 	 18784.070749313367 0.45475642748501155 
process 	 6017.7928622643285 0.45475642748501155 
staff 	 2605.23430043222 0.9377991096513584 
academia 	 5892.6443935787565 0.9377991096513584 
sinica 	 7669.411666414083 0.9377991096513584 
build 	 11894.755590131494 0.45475642748501155 
maintenance 	 4902.277098998429 0.7410208563151437 
condition 	 9124.255625125204 0.45475642748501155 
radiative 	 18784.070749313367 0.45475642748501155 
cooling 	 16819.94622593313 0.45475642748501155 
persistent 	 20343.084089989257 0.45475642748501155 
blocking 	 8838.966590368134 0.7410208563151437 
urals 	 16819.94622593313 0.45475642748501155 
troposphere 	 20343.084089989257 0.45475642748501155 
descending 	 20343.084089989257 0.45475642748501155 
motion 	 12347.631362230288 0.45475642748501155 
contribute 	 13146.004719802639 0.45475642748501155 
regarded 	 12595.78197600425 0.45475642748501155 
simple 	 10060.982532944256 0.45475642748501155 
expansion 	 4562.127812562602 0.7410208563151437 
highs 	 11504.117499621125 0.7410208563151437 
separate 	 9930.631066751259 0.45475642748501155 
dynamical 	 9392.035374656683 0.7410208563151437 
entity 	 16819.94622593313 0.45475642748501155 
characteristic 	 16819.94622593313 0.45475642748501155 
section 	 9804.554197996858 0.45475642748501155 
objective 	 11894.755590131494 0.45475642748501155 
identify 	 11686.867124347284 0.45475642748501155 
required 	 3983.2532716855126 0.7410208563151437 
