term 	 tf-idf weight 	 BM25 ranking 
smiling 	 3079.239256274057 1.3207131139347685 
huge 	 1989.8503893173304 1.3207131139347685 
difference 	 1564.4738593454251 1.3207131139347685 
feelings 	 1989.8503893173304 1.3207131139347685 
exactly 	 1906.5656983184585 1.3207131139347685 
words 	 1564.4738593454251 1.3207131139347685 
called 	 1018.4009296843399 1.3207131139347685 
talk 	 1800.454552264377 1.3207131139347685 
simple 	 1522.884742307817 1.3207131139347685 
vocabulary 	 2545.9580503232987 1.3207131139347685 
control 	 820.1691258709759 1.3207131139347685 
improvement 	 1657.7932816891796 1.3207131139347685 
mood 	 2350.131208609753 1.3207131139347685 
hand 	 1413.438343573106 1.3207131139347685 
helps 	 2087.075866591293 1.3207131139347685 
recall 	 2545.9580503232987 1.3207131139347685 
association 	 1129.5950774802366 1.3207131139347685 
physical 	 1099.742380146682 1.3207131139347685 
movement 	 969.8728332818122 1.3207131139347685 
vision 	 1413.438343573106 1.3207131139347685 
teaches 	 1175.0656043048764 1.5908789089820932 
changes 	 962.1641113133002 1.3207131139347685 
imagery 	 2142.5463912374103 1.3207131139347685 
finally 	 1564.4738593454251 1.3207131139347685 
focus 	 1397.0428931784888 1.3207131139347685 
concentrate 	 2545.9580503232987 1.3207131139347685 
house 	 1044.2718555005652 1.3207131139347685 
calls 	 1710.7388566049126 1.3207131139347685 
individual 	 977.6850311151181 1.3207131139347685 
receive 	 1321.351972538038 1.3207131139347685 
stickers 	 3482.650915359945 1.3207131139347685 
comic 	 2675.8275971881685 1.3207131139347685 
book 	 939.6322652241383 1.3207131139347685 
detailing 	 2439.846904269217 1.3207131139347685 
share 	 1430.309090033339 1.3207131139347685 
friends 	 2087.075866591293 1.3207131139347685 
donates 	 3079.239256274057 1.3207131139347685 
thank 	 2439.846904269217 1.3207131139347685 
private 	 1119.4730832219288 1.3207131139347685 
corporate 	 1447.6835145864532 1.3207131139347685 
foundation 	 1484.0703623495897 1.3207131139347685 
partners 	 1989.8503893173304 1.3207131139347685 
joined 	 2272.4159381022805 1.3207131139347685 
giving 	 1350.4580373124907 1.3207131139347685 
experience 	 1044.2718555005652 1.3207131139347685 
nationwide 	 2087.075866591293 1.3207131139347685 
operating 	 1522.884742307817 1.3207131139347685 
costs 	 1241.8650111646907 1.3207131139347685 
printed 	 2439.846904269217 1.3207131139347685 
materials 	 1381.0966902010061 1.3207131139347685 
sponsor 	 2272.4159381022805 1.3207131139347685 
free 	 736.4845722661998 1.3207131139347685 
funding 	 1683.664207505405 1.3207131139347685 
ideas 	 1183.0270711455541 1.3207131139347685 
comments 	 658.7693017587276 1.3207131139347685 
main 	 522.1359277502826 1.5908789089820932 
button_main_ani 	 2843.258563355105 1.3207131139347685 
html 	 228.6964927026262 1.3207131139347685 
button_index_ani 	 2843.258563355105 1.3207131139347685 
button_contact_ani 	 2843.258563355105 1.3207131139347685 
copyright 	 453.91902348124984 1.3207131139347685 
http 	 255.35764267283946 1.3207131139347685 
www 	 253.08863395092692 1.3207131139347685 
com 	 280.91863682291364 1.3207131139347685 
copyrite 	 2843.258563355105 1.3207131139347685 
