term 	 tf-idf weight 	 BM25 ranking 
pile 	 12110.616250191264 0.6616233284706579 
reeked 	 13697.230146492979 0.6616233284706579 
rotting 	 13697.230146492979 0.6616233284706579 
flesh 	 12110.616250191264 0.6616233284706579 
officials 	 2685.397713439641 0.994315493696578 
nova 	 12110.616250191264 0.6616233284706579 
kasabs 	 13697.230146492979 0.6616233284706579 
approximately 	 6329.223383369667 0.6616233284706579 
bodies 	 3606.00240097415 0.994315493696578 
larger 	 7350.77456128612 0.6616233284706579 
probably 	 6957.409323180997 0.6616233284706579 
hid 	 10524.00235388955 0.6616233284706579 
ids 	 4621.5209076526835 0.994315493696578 
headed 	 4213.306434314804 0.994315493696578 
earthen 	 6848.615073246489 0.994315493696578 
dam 	 1754.000392314925 1.4957244681284965 
interviewed 	 5006.613382465662 0.994315493696578 
fruitlessly 	 13697.230146492979 0.6616233284706579 
searched 	 13697.230146492979 0.6616233284706579 
east 	 2262.2222427479264 0.994315493696578 
minutes 	 2499.50107872334 1.194536662673621 
walking 	 8426.612868629609 0.6616233284706579 
distance 	 4104.223933528755 0.994315493696578 
dog 	 10524.00235388955 0.6616233284706579 
decided 	 6422.664928826532 0.6616233284706579 
check 	 6069.814022701937 0.6616233284706579 
gravel 	 5591.253308865838 0.994315493696578 
plateau 	 5262.001176944775 0.994315493696578 
fit 	 7081.169192668658 0.6616233284706579 
survivors' 	 13697.230146492979 0.6616233284706579 
description 	 2796.6140097409148 0.6616233284706579 
massacre 	 9243.041815305367 0.6616233284706579 
pulled 	 10524.00235388955 0.6616233284706579 
femurs 	 13697.230146492979 0.6616233284706579 
lying 	 9595.89272142996 0.6616233284706579 
objects 	 8937.388457587835 0.6616233284706579 
stepped 	 10524.00235388955 0.6616233284706579 
photo 	 9595.89272142996 0.6616233284706579 
heard 	 4004.639412564123 0.994315493696578 
simply 	 6069.814022701937 0.6616233284706579 
walked 	 12110.616250191264 0.6616233284706579 
shout 	 13697.230146492979 0.6616233284706579 
top 	 2138.1097458987883 0.6616233284706579 
rifle 	 11182.506617731677 0.6616233284706579 
finished 	 9595.89272142996 0.6616233284706579 
realized 	 10524.00235388955 0.6616233284706579 
guarding 	 13697.230146492979 0.6616233284706579 
called 	 4005.3603574698523 0.6616233284706579 
local 	 895.6259988116416 1.3282708462615125 
interrogation 	 5262.001176944775 0.994315493696578 
station 	 904.1747690528097 1.5516130759227629 
followed 	 3260.0419431155774 0.994315493696578 
convinced 	 2104.80047077791 1.423919682599957 
sent 	 6520.083886231155 0.6616233284706579 
led 	 2626.6925380130892 0.994315493696578 
nato 	 5311.337538502218 0.6616233284706579 
pictures 	 7350.77456128612 0.6616233284706579 
blow 	 12110.616250191264 0.6616233284706579 
detailed 	 4836.051032524817 0.6616233284706579 
maps 	 2002.3197062820616 1.3282708462615125 
marks 	 10013.226764931323 0.6616233284706579 
indicating 	 7656.427919003652 0.6616233284706579 
carrying 	 8426.612868629609 0.6616233284706579 
dangerous 	 3540.584596334329 0.994315493696578 
able 	 2348.6406365934986 0.994315493696578 
quickly 	 3540.584596334329 0.994315493696578 
crucial 	 4213.306434314804 0.994315493696578 
cards 	 4797.94636071498 0.994315493696578 
numerous 	 5693.724338296205 0.6616233284706579 
ones 	 7350.77456128612 0.6616233284706579 
angered 	 12110.616250191264 0.6616233284706579 
countering 	 13697.230146492979 0.6616233284706579 
espionage 	 9243.041815305367 0.6616233284706579 
suspicions 	 13697.230146492979 0.6616233284706579 
importantly 	 9243.041815305367 0.6616233284706579 
bought 	 9243.041815305367 0.6616233284706579 
time 	 311.7939634893849 1.5516130759227629 
biggest 	 3749.25161808501 0.994315493696578 
obtain 	 6153.059560209069 0.6616233284706579 
read 	 6239.447170961807 0.6616233284706579 
penetrate 	 12110.616250191264 0.6616233284706579 
deeply 	 5006.613382465662 0.994315493696578 
admitted 	 3606.00240097415 0.994315493696578 
looking 	 5141.704390242349 0.6616233284706579 
stories 	 3310.916985377897 0.994315493696578 
cia 	 8208.44786705751 0.6616233284706579 
payroll 	 12110.616250191264 0.6616233284706579 
developed 	 4566.445663907355 0.6616233284706579 
film 	 2836.0805046694995 0.6616233284706579 
conducted 	 6329.223383369667 0.6616233284706579 
included 	 5253.3850760261785 0.6616233284706579 
night 	 6153.059560209069 0.6616233284706579 
allowing 	 6728.318286544063 0.6616233284706579 
sleep 	 12110.616250191264 0.6616233284706579 
publicly 	 8937.388457587835 0.6616233284706579 
holding 	 6239.447170961807 0.6616233284706579 
installations 	 12110.616250191264 0.6616233284706579 
