term 	 tf-idf weight 	 BM25 ranking 
newspaper 	 3426.6758039039228 0.9693997006973298 
netscape 	 5043.18870418534 0.9693997006973298 
purpose 	 2273.1788373135028 0.9693997006973298 
creation 	 2791.4106853727253 0.9693997006973298 
multiauthor 	 7198.67534566669 0.9693997006973298 
documents 	 2992.3767492225143 0.9693997006973298 
similar 	 2377.8535238320273 0.9693997006973298 
adventure 	 5530.963229239462 0.9693997006973298 
stories 	 1160.0504247588788 1.4766931776531942 
serves 	 1198.269806860413 1.4766931776531942 
discussion 	 1785.4043122593814 0.9693997006973298 
forum 	 2791.4106853727253 0.9693997006973298 
literature 	 1511.6277997557445 0.9693997006973298 
movies 	 5043.18870418534 0.9693997006973298 
post 	 2377.8535238320273 0.9693997006973298 
reviews 	 2566.94778080949 0.9693997006973298 
kidopedia 	 7198.67534566669 0.9693997006973298 
international 	 811.5481864132191 1.3058527627246372 
allowing 	 3536.114853085412 0.9693997006973298 
encyclopedia 	 7198.67534566669 0.9693997006973298 
ipl 	 3599.337672833345 1.3058527627246372 
division's 	 7198.67534566669 0.9693997006973298 
sils 	 7198.67534566669 0.9693997006973298 
umich 	 6364.819287453076 0.9693997006973298 
youth 	 1895.159846383531 1.3058527627246372 
drinternet 	 7198.67534566669 0.9693997006973298 
jason's 	 7198.67534566669 0.9693997006973298 
kite 	 3599.337672833345 1.3058527627246372 
latrobe 	 7198.67534566669 0.9693997006973298 
glenn 	 5877.044762398954 0.9693997006973298 
kitesite 	 7198.67534566669 0.9693997006973298 
kites 	 3599.337672833345 1.3058527627246372 
flying 	 5262.521537008468 0.9693997006973298 
joseph 	 3790.319692767062 0.9693997006973298 
wu's 	 7198.67534566669 0.9693997006973298 
origami 	 2399.5584485555637 1.4766931776531942 
ubc 	 6364.819287453076 0.9693997006973298 
spider 	 6364.819287453076 0.9693997006973298 
jwu 	 7198.67534566669 0.9693997006973298 
images 	 2293.3978006481098 0.9693997006973298 
directions 	 4209.332645971726 0.9693997006973298 
polygonic 	 7198.67534566669 0.9693997006973298 
juggling 	 3599.337672833345 1.3058527627246372 
service 	 913.0939394626129 1.3058527627246372 
hal 	 4697.1071710258475 0.9693997006973298 
services 	 1695.2980385271203 0.9693997006973298 
juggle 	 7198.67534566669 0.9693997006973298 
kid's 	 7198.67534566669 0.9693997006973298 
window 	 5530.963229239462 0.9693997006973298 
kiku 	 7198.67534566669 0.9693997006973298 
stanford 	 4697.1071710258475 0.9693997006973298 
kids_home 	 7198.67534566669 0.9693997006973298 
teaches 	 2428.8727181765744 1.3058527627246372 
japan 	 3067.5887386710588 0.9693997006973298 
kidpub 	 3599.337672833345 1.3058527627246372 
wwwpublishing 	 7198.67534566669 0.9693997006973298 
garde 	 6364.819287453076 0.9693997006973298 
written 	 1324.664632795286 0.9693997006973298 
crossing 	 4857.745436353149 0.9693997006973298 
voice 	 3375.4765877581117 0.9693997006973298 
rocky 	 5877.044762398954 0.9693997006973298 
mountain 	 5043.18870418534 0.9693997006973298 
rmii 	 7198.67534566669 0.9693997006973298 
pachecod 	 7198.67534566669 0.9693997006973298 
kidsnet 	 7198.67534566669 0.9693997006973298 
ckids 	 7198.67534566669 0.9693997006973298 
meeting 	 2760.953362367625 0.9693997006973298 
islandnet 	 6364.819287453076 0.9693997006973298 
bedford 	 7198.67534566669 0.9693997006973298 
various 	 1469.7801021049893 0.9693997006973298 
space 	 2516.8155270396064 0.9693997006973298 
interport 	 7198.67534566669 0.9693997006973298 
kids_space 	 7198.67534566669 0.9693997006973298 
english 	 2673.951606487334 0.9693997006973298 
japanese 	 3426.6758039039228 0.9693997006973298 
accepts 	 5262.521537008468 0.9693997006973298 
submissions 	 7198.67534566669 0.9693997006973298 
kidscom 	 1199.7792242777819 1.6989628962886834 
network 	 997.4589164075047 1.4766931776531942 
register 	 4023.889378139534 0.9693997006973298 
choose 	 3656.515253729462 0.9693997006973298 
personal 	 1720.3614450712394 0.9693997006973298 
password 	 5877.044762398954 0.9693997006973298 
geography 	 5043.18870418534 0.9693997006973298 
brain 	 4314.0073324902505 0.9693997006973298 
teaser 	 7198.67534566669 0.9693997006973298 
keypal 	 7198.67534566669 0.9693997006973298 
registered 	 3536.114853085412 0.9693997006973298 
users 	 3594.809420581239 0.9693997006973298 
section 	 3067.5887386710588 0.9693997006973298 
discuss 	 3375.4765877581117 0.9693997006973298 
schools 	 3233.783595863482 0.9693997006973298 
forth 	 4209.332645971726 0.9693997006973298 
homepage 	 1797.4047102906195 1.3058527627246372 
playground 	 7198.67534566669 0.9693997006973298 
legoinformation 	 7198.67534566669 0.9693997006973298 
legowww 	 7198.67534566669 0.9693997006973298 
homepages 	 7198.67534566669 0.9693997006973298 
lego 	 3599.337672833345 1.3058527627246372 
products 	 1351.1293974358991 1.3058527627246372 
ideas 	 2445.329152213233 0.9693997006973298 
webfeats 	 7198.67534566669 0.9693997006973298 
illusion 	 4857.745436353149 0.9693997006973298 
ages 	 3656.515253729462 0.9693997006973298 
resort 	 5262.521537008468 0.9693997006973298 
banshee 	 7198.67534566669 0.9693997006973298 
misc 	 7198.67534566669 0.9693997006973298 
marcel's 	 6364.819287453076 0.9693997006973298 
mind 	 1167.4423352308631 1.3058527627246372 
einstein 	 6364.819287453076 0.9693997006973298 
tudelft 	 7198.67534566669 0.9693997006973298 
mvdlaan 	 7198.67534566669 0.9693997006973298 
webmind 	 7198.67534566669 0.9693997006973298 
wm_intro 	 7198.67534566669 0.9693997006973298 
version 	 2731.248149421408 0.9693997006973298 
master 	 4113.041268640462 0.9693997006973298 
marmaduker 	 7198.67534566669 0.9693997006973298 
unitedmedia 	 7198.67534566669 0.9693997006973298 
comics 	 7198.67534566669 0.9693997006973298 
marmaduke 	 7198.67534566669 0.9693997006973298 
marmaduke's 	 7198.67534566669 0.9693997006973298 
complete 	 2673.951606487334 0.9693997006973298 
archive 	 5530.963229239462 0.9693997006973298 
current 	 1695.2980385271203 0.9693997006973298 
strips 	 6364.819287453076 0.9693997006973298 
mentor5 	 3599.337672833345 1.3058527627246372 
shasta 	 7198.67534566669 0.9693997006973298 
k12 	 7198.67534566669 0.9693997006973298 
telementors 	 7198.67534566669 0.9693997006973298 
locally 	 4857.745436353149 0.9693997006973298 
considered 	 2492.5116701366305 0.9693997006973298 
updated 	 1288.7515181262195 0.9693997006973298 
monthly 	 3790.319692767062 0.9693997006973298 
references 	 4555.414179131219 0.9693997006973298 
diverse 	 4555.414179131219 0.9693997006973298 
ericps 	 7198.67534566669 0.9693997006973298 
npin 	 7198.67534566669 0.9693997006973298 
npinhome 	 7198.67534566669 0.9693997006973298 
parenting 	 2938.522381199477 1.3058527627246372 
articles 	 2854.741096755688 0.9693997006973298 
family 	 2053.8460044903754 0.9693997006973298 
life 	 745.2609976228501 1.3058527627246372 
urban 	 1533.110513487952 0.9693997006973298 
minority 	 3107.034895527117 0.9693997006973298 
families 	 3594.809420581239 0.9693997006973298 
counselors 	 4555.414179131219 0.9693997006973298 
oudps 	 7198.67534566669 0.9693997006973298 
kidsafety 	 7198.67534566669 0.9693997006973298 
uoknor 	 7198.67534566669 0.9693997006973298 
oupd 	 7198.67534566669 0.9693997006973298 
kidsafe 	 7198.67534566669 0.9693997006973298 
start 	 1297.6297872052594 0.9693997006973298 
fire 	 3375.4765877581117 0.9693997006973298 
avoiding 	 4428.665478794854 0.9693997006973298 
fights 	 6364.819287453076 0.9693997006973298 
peanuts 	 2399.5584485555637 1.4766931776531942 
collectors 	 3182.409643726538 1.3058527627246372 
club 	 3863.2511128122333 0.9693997006973298 
