term 	 tf-idf weight 	 BM25 ranking 
sommelier 	 11489.157658919406 0.7416279396105556 
hilton 	 10158.315072244312 0.7416279396105556 
princeville 	 11489.157658919406 0.7416279396105556 
resort 	 4199.518433522967 1.082025651833564 
cafe 	 3876.505086366602 1.082025651833564 
yaeko 	 11489.157658919406 0.7416279396105556 
habein 	 11489.157658919406 0.7416279396105556 
served 	 3082.893656109513 1.082025651833564 
japanese 	 390.64348316681696 1.783806474120253 
language 	 689.6943629433905 1.5590955628438057 
authored 	 4413.736242784608 1.082025651833564 
complete 	 2133.826718393883 1.082025651833564 
guide 	 2734.504382167719 1.082025651833564 
everyday 	 8827.472485569217 0.7416279396105556 
kanji 	 5744.578829459703 1.082025651833564 
lynne 	 5744.578829459703 1.082025651833564 
halevi 	 5744.578829459703 1.082025651833564 
featured 	 3876.505086366602 1.082025651833564 
anthology 	 11489.157658919406 0.7416279396105556 
communicators 	 10158.315072244312 0.7416279396105556 
holds 	 6165.787312219026 0.7416279396105556 
certificate 	 7068.194280370838 0.7416279396105556 
competence 	 8048.97947800154 0.7416279396105556 
speech 	 4775.863140903763 0.7416279396105556 
pathology 	 8048.97947800154 0.7416279396105556 
screen 	 3534.097140185419 1.082025651833564 
actor's 	 9379.822064676635 0.7416279396105556 
guild 	 5079.157536122156 1.082025651833564 
national 	 364.71974215315174 1.5590955628438057 
speakers 	 6564.454892593255 0.7416279396105556 
association 	 621.0832041128449 1.5590955628438057 
victor 	 8399.036867045934 0.7416279396105556 
lecturer 	 3386.105024081437 1.2774736602636105 
workshop 	 7068.194280370838 0.7416279396105556 
actor 	 9379.822064676635 0.7416279396105556 
previously 	 5939.643883758769 0.7416279396105556 
max 	 7496.629898894121 0.7416279396105556 
factor 	 5643.674578490433 0.7416279396105556 
training 	 689.6943629433905 1.5590955628438057 
department 	 738.6214157340562 1.4932571907232772 
store 	 5835.8348189198405 0.7416279396105556 
personnel 	 2252.4961161223723 1.082025651833564 
actors 	 4689.911032338317 1.082025651833564 
federation 	 6422.167586058109 0.7416279396105556 
television 	 2417.472362771965 1.082025651833564 
radio 	 4180.365678560392 0.7416279396105556 
eric 	 3876.505086366602 1.082025651833564 
halter 	 11489.157658919406 0.7416279396105556 
specializes 	 1914.859609819901 1.5590955628438057 
integrating 	 7753.010172733204 0.7416279396105556 
computers 	 5835.8348189198405 0.7416279396105556 
workplace 	 3282.2274462966275 1.082025651833564 
providing 	 1970.02622204435 1.082025651833564 
practical 	 4662.889380859731 0.7416279396105556 
plain 	 9379.822064676635 0.7416279396105556 
talk 	 5939.643883758769 0.7416279396105556 
computer 	 636.4456140500691 1.6097930557866313 
hanson 	 11489.157658919406 0.7416279396105556 
career 	 4608.801297083674 0.7416279396105556 
discovery 	 3144.850636401581 1.082025651833564 
outplacement 	 11489.157658919406 0.7416279396105556 
consultant 	 775.3010172733204 1.7098737472737862 
drake 	 11489.157658919406 0.7416279396105556 
beam 	 8399.036867045934 0.7416279396105556 
morin 	 11489.157658919406 0.7416279396105556 
clients 	 1290.2877190477734 1.404304537426343 
include 	 3277.9587104085795 0.7416279396105556 
ibm 	 2969.8219418793847 1.082025651833564 
sears 	 10158.315072244312 0.7416279396105556 
express 	 6564.454892593255 0.7416279396105556 
sprint 	 9379.822064676635 0.7416279396105556 
harada 	 11489.157658919406 0.7416279396105556 
gemologist 	 11489.157658919406 0.7416279396105556 
gia 	 11489.157658919406 0.7416279396105556 
jewelers 	 11489.157658919406 0.7416279396105556 
stacy 	 11489.157658919406 0.7416279396105556 
hasegawa 	 11489.157658919406 0.7416279396105556 
operations 	 4180.365678560392 0.7416279396105556 
altres 	 5744.578829459703 1.082025651833564 
staffing 	 2942.490828523072 1.2774736602636105 
recruitment 	 7270.486470433864 0.7416279396105556 
screening 	 8048.97947800154 0.7416279396105556 
interviewing 	 8827.472485569217 0.7416279396105556 
colleges 	 4199.518433522967 1.082025651833564 
military 	 3474.3341007197823 0.7416279396105556 
bases 	 6289.701272803162 0.7416279396105556 
business 	 145.40199447253818 1.7522379327157485 
patrick 	 6564.454892593255 0.7416279396105556 
horimoto 	 11489.157658919406 0.7416279396105556 
self 	 3474.3341007197823 0.7416279396105556 
weaver 	 10158.315072244312 0.7416279396105556 
master 	 1641.1137231483137 1.404304537426343 
carver 	 10158.315072244312 0.7416279396105556 
exhibited 	 4689.911032338317 1.082025651833564 
sam 	 8048.97947800154 0.7416279396105556 
