term 	 tf-idf weight 	 BM25 ranking 
extreme 	 5367.767443944845 0.8073755263114146 
repeated 	 5848.628028047997 0.8073755263114146 
physical 	 350.9391730460442 1.7180224896425924 
mental 	 1123.2895429106006 1.4606104314743455 
cruelty 	 17687.10796172538 0.5057754414684522 
habitual 	 10002.14949316864 0.8073755263114146 
drunkenness 	 20004.29898633728 0.5057754414684522 
excessive 	 11988.135089372325 0.5057754414684522 
addictive 	 17687.10796172538 0.5057754414684522 
drugs 	 10532.866777157347 0.5057754414684522 
infection 	 16331.638105319787 0.5057754414684522 
communicable 	 15369.916937113483 0.5057754414684522 
disease 	 8747.429026692496 0.5057754414684522 
permanent 	 4373.714513346248 0.8073755263114146 
impotence 	 20004.29898633728 0.5057754414684522 
alleging 	 8165.819052659894 0.8073755263114146 
allege 	 8843.55398086269 0.8073755263114146 
ground 	 9989.565995846286 0.5057754414684522 
occurred 	 8747.429026692496 0.5057754414684522 
provocation 	 17687.10796172538 0.5057754414684522 
example 	 1966.1615759778506 1.0076710528135855 
wife 	 10735.53488788969 0.5057754414684522 
files 	 10161.039478983867 0.5057754414684522 
provoke 	 20004.29898633728 0.5057754414684522 
husband 	 6153.378510229091 0.8073755263114146 
desert 	 14014.447080707889 0.5057754414684522 
require 	 9112.482259731463 0.5057754414684522 
represented 	 5266.433388578674 0.8073755263114146 
complexities 	 15369.916937113483 0.5057754414684522 
substantive 	 14623.948045070081 0.5057754414684522 
laws 	 2202.594716035042 1.0076710528135855 
procedural 	 14014.447080707889 0.5057754414684522 
protected 	 12306.757020458183 0.5057754414684522 
seeing 	 11988.135089372325 0.5057754414684522 
list 	 7672.374971234388 0.5057754414684522 
assets 	 2633.216694289337 1.1503634177109439 
know 	 2771.8247361182775 1.0076710528135855 
exist 	 9826.460477027875 0.5057754414684522 
gather 	 14623.948045070081 0.5057754414684522 
available 	 1308.0287086183127 1.1503634177109439 
incomes 	 14014.447080707889 0.5057754414684522 
agree 	 9826.460477027875 0.5057754414684522 
resolution 	 8524.479761743432 0.5057754414684522 
arise 	 6329.488612151148 0.8073755263114146 
doing 	 8315.474208354834 0.5057754414684522 
encourages 	 15369.916937113483 0.5057754414684522 
postnuptial 	 20004.29898633728 0.5057754414684522 
commonly 	 12306.757020458183 0.5057754414684522 
referred 	 5714.83664217168 0.8073755263114146 
settlement 	 11697.256056095994 0.5057754414684522 
adjusts 	 20004.29898633728 0.5057754414684522 
defines 	 9112.482259731463 0.5057754414684522 
details 	 8864.73930882157 0.5057754414684522 
duties 	 5367.767443944845 0.8073755263114146 
result 	 2999.1415918714683 0.8073755263114146 
relationship 	 1641.4985520171492 1.0076710528135855 
usually 	 935.3715403641991 1.5057313070307274 
incorporated 	 6329.488612151148 0.8073755263114146 
sections 	 11429.67328434336 0.5057754414684522 
final 	 7933.000404367635 0.5057754414684522 
oral 	 10951.287164052588 0.5057754414684522 
practice 	 4107.837876272725 0.8073755263114146 
normally 	 2175.454318750264 1.3401346558440155 
resolve 	 5714.83664217168 0.8073755263114146 
allocation 	 13499.121358045366 0.5057754414684522 
note 	 2278.120564932866 1.1503634177109439 
matters 	 2857.41832108584 1.1503634177109439 
involving 	 4432.369654410785 0.8073755263114146 
serious 	 2683.8837219724223 1.1503634177109439 
income 	 1003.0743968848127 1.4606104314743455 
tax 	 2644.3334681225447 1.0076710528135855 
consequences 	 2738.5585841818165 1.0076710528135855 
addressed 	 10951.287164052588 0.5057754414684522 
disagree 	 16331.638105319787 0.5057754414684522 
decided 	 4690.032515742048 0.8073755263114146 
process 	 1744.03827815775 1.0076710528135855 
appearances 	 13499.121358045366 0.5057754414684522 
temporary 	 3076.6892551145456 1.1503634177109439 
injunction 	 16331.638105319787 0.5057754414684522 
entered 	 3164.744306075574 1.1503634177109439 
prevent 	 2806.1146210925967 1.0076710528135855 
dissipation 	 10002.14949316864 0.8073755263114146 
discovered 	 11181.930333433469 0.5057754414684522 
existence 	 4994.782997923143 0.8073755263114146 
value 	 2105.635038276265 1.0076710528135855 
thereof 	 14623.948045070081 0.5057754414684522 
ascertained 	 20004.29898633728 0.5057754414684522 
completed 	 9826.460477027875 0.5057754414684522 
discovery 	 10951.287164052588 0.5057754414684522 
request 	 1822.4964519462928 1.2571778466026422 
pre 	 3794.9137836723885 0.8073755263114146 
trial 	 2104.5859658194477 1.1503634177109439 
conference 	 3754.634726207989 0.8073755263114146 
try 	 9243.597103802882 0.5057754414684522 
settle 	 16331.638105319787 0.5057754414684522 
disputed 	 13052.725912501586 0.5057754414684522 
