term 	 tf-idf weight 	 BM25 ranking 
die 	 2122.1852626346435 1.2451425498772126 
refusal 	 2294.586960435345 1.2451425498772126 
abide 	 3153.9823568231677 1.2451425498772126 
status 	 1134.0972171149897 1.2451425498772126 
quo 	 2770.0859262994677 1.2451425498772126 
shackled 	 4104.980288551413 1.2451425498772126 
silenced 	 3629.4813226872902 1.2451425498772126 
myriad 	 4104.980288551413 1.2451425498772126 
publishers 	 3000.90588062162 1.2451425498772126 
courage 	 1576.9911784115839 1.5347770160966585 
build 	 2122.1852626346435 1.2451425498772126 
recognized 	 2247.2578505952965 1.2451425498772126 
pioneer 	 2875.833292660967 1.2451425498772126 
rare 	 3153.9823568231677 1.2451425498772126 
provincial 	 3153.9823568231677 1.2451425498772126 
index 	 298.3140943132919 1.2451425498772126 
html 	 269.5632199209649 1.2451425498772126 
website 	 2085.0951488432347 1.2451425498772126 
http 	 300.98856163843277 1.2451425498772126 
www 	 298.3140943132919 1.2451425498772126 
org 	 1749.2650662746023 1.2451425498772126 
