term 	 tf-idf weight 	 BM25 ranking 
atmos 	 4360.15166287703 1.1181098932552633 
entropy 	 10681.326261026636 0.775955953794667 
columbia 	 6102.891657957792 0.775955953794667 
ldgo 	 10681.326261026636 0.775955953794667 
kbox 	 10681.326261026636 0.775955953794667 
cwru 	 10681.326261026636 0.775955953794667 
lit 	 2374.0070359954557 0.775955953794667 
lit35435 	 10681.326261026636 0.775955953794667 
drexel 	 9444.058543727133 0.775955953794667 
ece 	 9444.058543727133 0.775955953794667 
cbis 	 10681.326261026636 0.775955953794667 
duke 	 3904.239793665883 1.1181098932552633 
botany 	 10681.326261026636 0.775955953794667 
whslab 	 10681.326261026636 0.775955953794667 
env 	 10681.326261026636 0.775955953794667 
faculty67 	 10681.326261026636 0.775955953794667 
erau 	 10681.326261026636 0.775955953794667 
b58 	 10681.326261026636 0.775955953794667 
gatech 	 10681.326261026636 0.775955953794667 
dougd 	 10681.326261026636 0.775955953794667 
idbsu 	 10681.326261026636 0.775955953794667 
asm8 	 10681.326261026636 0.775955953794667 
lclark 	 10681.326261026636 0.775955953794667 
olin 	 10681.326261026636 0.775955953794667 
louisville 	 10681.326261026636 0.775955953794667 
academic 	 4865.62394065829 0.775955953794667 
leuthart 	 10681.326261026636 0.775955953794667 
lsu 	 10681.326261026636 0.775955953794667 
srcc 	 10681.326261026636 0.775955953794667 
maestro 	 10681.326261026636 0.775955953794667 
maricopa 	 4103.395413213815 1.1181098932552633 
mc38x2 	 10681.326261026636 0.775955953794667 
pvc 	 10681.326261026636 0.775955953794667 
fitfran 	 10681.326261026636 0.775955953794667 
mass 	 2020.4522399301181 0.775955953794667 
ssc 	 10681.326261026636 0.775955953794667 
dgl 	 10681.326261026636 0.775955953794667 
miami 	 8720.30332575406 0.775955953794667 
rsmas 	 10681.326261026636 0.775955953794667 
zebra 	 10681.326261026636 0.775955953794667 
mit 	 4096.676435433258 0.775955953794667 
nearlink 	 10681.326261026636 0.775955953794667 
msstate 	 10681.326261026636 0.775955953794667 
cbi 	 10681.326261026636 0.775955953794667 
cobi179 	 10681.326261026636 0.775955953794667 
mtu 	 9444.058543727133 0.775955953794667 
strike 	 5732.255391828626 0.775955953794667 
helios 	 9444.058543727133 0.775955953794667 
kierkegaard 	 8206.79082642763 0.775955953794667 
neu 	 5340.663130513318 1.1181098932552633 
nmt 	 10681.326261026636 0.775955953794667 
nighthawk 	 10681.326261026636 0.775955953794667 
nodak 	 10681.326261026636 0.775955953794667 
und 	 8206.79082642763 0.775955953794667 
med 	 2340.3267915121323 0.775955953794667 
library27 	 10681.326261026636 0.775955953794667 
ohio 	 7207.876644962901 0.775955953794667 
kh465d 	 10681.326261026636 0.775955953794667 
ohiou 	 10681.326261026636 0.775955953794667 
physplnt 	 10681.326261026636 0.775955953794667 
wo32 	 10681.326261026636 0.775955953794667 
nssl 	 10681.326261026636 0.775955953794667 
ork 	 10681.326261026636 0.775955953794667 
psu 	 4722.0292718635665 1.1181098932552633 
essc 	 3560.4420870088784 1.3107689165432674 
faintsun 	 10681.326261026636 0.775955953794667 
stomate 	 10681.326261026636 0.775955953794667 
purdue 	 4360.15166287703 1.1181098932552633 
atms 	 10681.326261026636 0.775955953794667 
warmpool 	 10681.326261026636 0.775955953794667 
tilt 	 8720.30332575406 0.775955953794667 
rice 	 7207.876644962901 0.775955953794667 
owlnet 	 10681.326261026636 0.775955953794667 
moray 	 10681.326261026636 0.775955953794667 
sdsmt 	 10681.326261026636 0.775955953794667 
ias 	 10681.326261026636 0.775955953794667 
mist 	 9444.058543727133 0.775955953794667 
sdsu 	 10681.326261026636 0.775955953794667 
mx3p35 	 10681.326261026636 0.775955953794667 
shsu 	 10681.326261026636 0.775955953794667 
n11_134 	 10681.326261026636 0.775955953794667 
sjsu 	 10681.326261026636 0.775955953794667 
facultypc 	 10681.326261026636 0.775955953794667 
stanford 	 2323.174369709376 1.3107689165432674 
grand 	 5970.608927663398 0.775955953794667 
p211 	 10681.326261026636 0.775955953794667 
mac 	 7483.0356084545565 0.775955953794667 
rhine 	 10681.326261026636 0.775955953794667 
sunysb 	 9444.058543727133 0.775955953794667 
msrc 	 10681.326261026636 0.775955953794667 
cheget 	 10681.326261026636 0.775955953794667 
tamu 	 3560.4420870088784 1.3107689165432674 
alcorn 	 10681.326261026636 0.775955953794667 
coriolis 	 8720.30332575406 0.775955953794667 
csrp 	 10681.326261026636 0.775955953794667 
tamuk 	 10681.326261026636 0.775955953794667 
taisun1 	 10681.326261026636 0.775955953794667 
trinity 	 8206.79082642763 0.775955953794667 
engr 	 9444.058543727133 0.775955953794667 
newton 	 7808.479587331766 0.775955953794667 
ucar 	 1744.060665150812 1.5203423587761586 
atd 	 10681.326261026636 0.775955953794667 
kirsh 	 10681.326261026636 0.775955953794667 
cgd 	 5340.663130513318 1.1181098932552633 
gauss 	 10681.326261026636 0.775955953794667 
git 	 10681.326261026636 0.775955953794667 
harvest 	 7808.479587331766 0.775955953794667 
mmm 	 10681.326261026636 0.775955953794667 
birch 	 8720.30332575406 0.775955953794667 
ucdavis 	 4360.15166287703 1.1181098932552633 
atm33 	 10681.326261026636 0.775955953794667 
blueprint 	 8720.30332575406 0.775955953794667 
ucla 	 4360.15166287703 1.1181098932552633 
wla 	 5340.663130513318 1.1181098932552633 
ts16 	 10681.326261026636 0.775955953794667 
ts22 	 10681.326261026636 0.775955953794667 
ucr 	 10681.326261026636 0.775955953794667 
mccluskey 	 10681.326261026636 0.775955953794667 
ucsb 	 10681.326261026636 0.775955953794667 
sap14 	 10681.326261026636 0.775955953794667 
ucsc 	 10681.326261026636 0.775955953794667 
ernie 	 10681.326261026636 0.775955953794667 
ucsd 	 4722.0292718635665 1.1181098932552633 
chagos 	 10681.326261026636 0.775955953794667 
splash 	 10681.326261026636 0.775955953794667 
udel 	 10681.326261026636 0.775955953794667 
strauss 	 9444.058543727133 0.775955953794667 
uic 	 10681.326261026636 0.775955953794667 
nurs 	 10681.326261026636 0.775955953794667 
g039 	 10681.326261026636 0.775955953794667 
uiowa 	 10681.326261026636 0.775955953794667 
cbe 	 10681.326261026636 0.775955953794667 
cbe7 	 10681.326261026636 0.775955953794667 
umd 	 8206.79082642763 0.775955953794667 
texmex 	 10681.326261026636 0.775955953794667 
umn 	 9444.058543727133 0.775955953794667 
spa 	 8206.79082642763 0.775955953794667 
alethea 	 10681.326261026636 0.775955953794667 
unh 	 5340.663130513318 1.1181098932552633 
kelvin 	 9444.058543727133 0.775955953794667 
sherman 	 9444.058543727133 0.775955953794667 
unl 	 10681.326261026636 0.775955953794667 
csd 	 5340.663130513318 1.1181098932552633 
dgosselin 	 10681.326261026636 0.775955953794667 
unm 	 10681.326261026636 0.775955953794667 
eece 	 10681.326261026636 0.775955953794667 
opus 	 9444.058543727133 0.775955953794667 
usf 	 10681.326261026636 0.775955953794667 
cfr 	 10681.326261026636 0.775955953794667 
ppp116 	 10681.326261026636 0.775955953794667 
utah 	 3148.019514575711 1.3107689165432674 
biology 	 8720.30332575406 0.775955953794667 
biol 	 10681.326261026636 0.775955953794667 
met 	 1943.2168583933071 1.1181098932552633 
alpental 	 10681.326261026636 0.775955953794667 
radar 	 5163.815481782041 0.775955953794667 
utexas 	 3560.4420870088784 1.3107689165432674 
csr 	 10681.326261026636 0.775955953794667 
laplace 	 10681.326261026636 0.775955953794667 
ots 	 10681.326261026636 0.775955953794667 
phym11 	 10681.326261026636 0.775955953794667 
uwm 	 10681.326261026636 0.775955953794667 
alpha2 	 9444.058543727133 0.775955953794667 
cns 	 10681.326261026636 0.775955953794667 
sl011 	 10681.326261026636 0.775955953794667 
as2511 	 10681.326261026636 0.775955953794667 
uusa 	 10681.326261026636 0.775955953794667 
futura 	 10681.326261026636 0.775955953794667 
washington 	 942.8081141390124 1.434343152143329 
windy 	 10681.326261026636 0.775955953794667 
maverick 	 9444.058543727133 0.775955953794667 
minbar 	 10681.326261026636 0.775955953794667 
vorlon 	 10681.326261026636 0.775955953794667 
wisc 	 10681.326261026636 0.775955953794667 
